base_speed,min_speed,max_speed,k_curve,steer_gain,center_gain,steer_smooth_alpha,brake_angle_th,brake_max,enable_tc,tc_slip_th,tc_accel_cut,driver_name,car,top_speed,lap_amount,best_lap_time (seconds),full_time (seconds)
100.0,40.0,240.0,2.5,20.0,0.35,0.22,0.3,0.5,True,2.0,0.12,scr_server 1,car1-ow1,28.999,1.0,167.66,167.66
100.0,40.0,240.0,2.5,20.0,0.35,0.22,0.3,0.5,True,2.0,0.12,scr_server 1,car1-ow1,28.999,1.0,167.66,167.66
130.0,50.0,240.0,2.5,30.0,0.35,0.22,0.3,0.5,True,2.0,0.12,scr_server 1,car1-ow1,28.999,1.0,167.66,167.66
100.0,40.0,240.0,2.5,20.0,0.35,0.22,0.3,0.5,True,2.0,0.12,scr_server 1,car1-ow1,28.999,1.0,167.66,167.66
140.0,40.0,240.0,2.5,20.0,0.35,0.22,0.3,0.8,True,2.0,0.12,,,,,,
140.0,40.0,240.0,5.5,20.0,0.45,0.22,0.1,0.8,True,2.0,0.12,,,,,,
120.0,40.0,240.0,5.5,20.0,0.45,0.22,0.1,0.8,True,2.0,0.12,scr_server 1,car1-ow1,33.0021,1.0,168.128,168.128
300.0,40.0,400.0,5.5,20.0,0.45,0.22,0.1,0.8,True,2.0,0.12,,,,,,
160.0,40.0,240.0,10.0,20.0,0.55,0.22,0.05,0.8,True,2.0,0.12,,,,,,
160.0,40.0,240.0,34.0,20.0,0.55,0.22,0.005,1.0,True,2.0,0.12,,,,,,
160.0,40.0,240.0,34.0,20.0,0.55,0.35,0.05,0.9,True,2.0,0.12,scr_server 1,car1-ow1,43.4468,1.0,227.974,227.974
160.0,40.0,240.0,34.0,20.0,0.55,0.35,0.5,0.5,True,2.0,0.12,,,,,,
160.0,40.0,240.0,15.0,20.0,0.55,0.35,0.5,0.5,True,2.0,0.12,,,,,,
160.0,40.0,240.0,15.0,20.0,0.55,0.35,0.5,0.5,True,2.0,0.12,,,,,,
160.0,5.0,240.0,15.0,20.0,0.55,0.35,1.0,0.9,True,2.0,0.12,scr_server 1,car1-ow1,42.6199,1.0,216.1,216.1
160.0,5.0,240.0,15.0,80.0,0.15,0.35,0.8,0.9,True,2.0,0.12,,,,,,
200.0,5.0,240.0,30.0,10.0,0.15,0.35,0.5,0.9,True,2.0,0.12,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,40.0,160.0,20.0,40.0,1.23,0.25,0.4,0.7,True,1.6,0.18,scr_server 1,car1-ow1,43.9483,1.0,195.076,195.076
160.0,40.0,160.0,10.0,40.0,1.23,0.25,0.4,0.7,True,1.6,0.18,,,,,,
160.0,40.0,200.0,10.0,40.0,1.23,0.25,0.2,0.7,True,1.6,0.18,,,,,,
160.0,40.0,200.0,10.0,40.0,2.23,0.15,0.2,0.7,True,1.6,0.18,,,,,,
140.0,40.0,200.0,10.0,32.0,0.2,0.15,0.9,0.7,False,1.6,0.18,,,,,,
185.0,55.0,230.0,2.6,28.0,1.75,0.18,0.16,0.85,True,1.4,0.22,,,,,,
160.0,45.0,205.0,3.4,44.0,2.35,0.16,0.12,0.85,True,1.5,0.2,scr_server 1,car1-ow1,44.3149,1.0,191.334,191.334
175.0,55.0,205.0,1.9,44.0,2.35,0.16,0.14,0.8,True,1.5,0.2,,,,,,
175.0,55.0,205.0,1.9,44.0,2.35,0.16,0.14,0.8,True,1.5,0.2,,,,,,
175.0,55.0,205.0,1.9,44.0,2.35,0.16,0.14,0.85,True,1.5,0.2,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,25.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,scr_server 1,car1-ow1,39.4244,1.0,212.262,212.262
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,20.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,20.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,20.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,55.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,scr_server 1,car1-ow1,39.4244,1.0,212.262,212.262
160.0,55.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,55.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
